L4_SRC_PORT,L4_DST_PORT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,attack_index,dst_subnet_index,src_subnet_index
46696,17288,0,0,0,0,0,0,48,0,1,0,0,48.0,0.0,48,48,0,48,4096,0,1.0,0.0,0.0
56607,15632,0,0,0,0,0,0,48,40,1,1,0,48.0,40.0,48,40,40,48,4096,0,1.0,0.0,0.0
42103,2004,0,0,0,0,0,0,44,40,1,1,0,44.0,40.0,44,40,40,44,1024,0,0.0,0.0,0.0
52898,52878,0,0,0,0,0,0,48,0,1,0,0,48.0,0.0,48,48,0,48,4096,0,1.0,0.0,0.0
59700,80,0,0,0,0,0,0,268,240,5,4,4294951,268.0,240.0,60,52,52,60,29200,5792,3.0,0.0,0.0
58996,9618,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
46826,15660,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
43778,80,0,0,0,0,0,0,423,484,5,5,0,423.0,484.0,268,52,52,268,29200,28960,4.0,0.0,0.0
48472,53,0,0,45711,28,0,0,65,65,1,1,0,65.0,65.0,65,65,65,65,0,0,2.0,0.0,0.0
52878,648,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
33413,53,0,0,10119,1,53,0,68,100,1,1,0,68.0,100.0,100,68,68,100,0,0,2.0,0.0,0.0
59701,53,0,0,37119,1,90,0,93,177,1,1,0,93.0,177.0,177,93,93,177,0,0,0.0,0.0,0.0
43026,53,0,0,29669,1,0,0,71,71,1,1,0,71.0,71.0,71,71,71,71,0,0,5.0,0.0,0.0
30352,15995,0,0,0,0,0,0,48,40,1,1,0,48.0,40.0,48,40,40,48,4096,0,1.0,0.0,0.0
46232,80,0,0,0,0,0,0,593,112,5,2,0,593.0,112.0,377,52,52,377,29200,26847,6.0,4.0,0.0
53528,80,0,0,0,0,0,0,487,3359,6,7,0,487.0,3359.0,1500,52,52,1500,29200,28960,4.0,0.0,0.0
39601,1042,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
32589,9490,0,0,0,0,0,0,48,40,1,1,0,48.0,40.0,48,40,40,48,4096,0,1.0,0.0,0.0
55248,49161,0,0,0,0,0,0,44,40,1,1,0,44.0,40.0,44,40,40,44,1024,0,0.0,0.0,0.0
2220,2220,0,0,0,0,0,0,4000,0,100,0,0,4000.0,0.0,40,40,0,40,1641,0,5.0,0.0,0.0
57673,10626,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
58951,1145,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
55503,53,0,0,38841,1,428,0,136,692,2,2,0,136.0,692.0,346,68,68,346,0,0,0.0,0.0,1.0
51585,9197,0,0,0,0,0,0,344,3913,5,7,0,344.0,3913.0,1500,40,40,1500,64240,29200,0.0,0.0,0.0
43108,1126,0,0,0,0,0,0,44,40,1,1,0,44.0,40.0,44,40,40,44,1024,0,0.0,0.0,0.0
43880,6002,0,0,0,0,0,0,44,0,1,0,0,44.0,0.0,44,44,0,44,1024,0,0.0,0.0,0.0
47674,5269,0,0,0,0,0,0,44,40,1,1,0,44.0,40.0,44,40,40,44,1024,0,0.0,0.0,0.0
38227,445,0,0,0,0,0,0,804,578,10,8,4294952,804.0,578.0,184,40,40,184,29200,8192,0.0,0.0,0.0
48152,21,0,0,0,0,0,331,4,84,1,1,0,690.0,617.0,105,52,52,105,0,46,4.0,1.0,0.0
